,"(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(6, 6)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(7, 7)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(8, 8)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(9, 9)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(11, 11)","(11, 12)","(11, 13)","(12, 12)","(12, 13)","(13, 13)"
"(4, 10)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(4, 11)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(4, 12)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.004897959183673469
"(4, 13)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.009795918367346938,0.0024489795918367346
"(5, 5)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0008163265306122449,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 6)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 7)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 8)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 9)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 10)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 11)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(5, 12)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.004897959183673469
"(5, 13)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.007346938775510204,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.004897959183673469,0.009795918367346938,0.0024489795918367346
"(6, 6)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.006530612244897959,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0008163265306122449,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.006530612244897959,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(6, 7)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
"(6, 8)",0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.007346938775510204,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.009795918367346938,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.0024489795918367346,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.009795918367346938,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.013061224489795919,0.004897959183673469,0.013061224489795919,0.004897959183673469
